"country_info","lang","n"
"UK:Great Britain","sl",2
"Belarus","sr",1
"Bosnia and Herzegovina","sr",10
"France","sr",3
"Germany","sr",37
"Hungary","sr",2
"Kazakhstan","sr",1
"Macedonia","sr",18
"Montenegro","sr",1
"Russia","sr",4
"Serbia","sr",61
"UK:Great Britain","sr",1
"Ukraine","sr",1
"Uzbekistan","sr",2
"Austria","sv",3
"Bosnia and Herzegovina","sv",2
"Bulgaria","sv",1
"Croatia","sv",1
"Denmark:8","sv",3
"Denmark:Sjaelland","sv",1
"Finland","sv",5
"France","sv",8
"Germany","sv",5
"Ireland","sv",1
"Italy","sv",1
"Latvia","sv",1
"Netherlands","sv",2
"Norway","sv",3
"Poland","sv",1
"Portugal","sv",2
"Serbia","sv",1
"Slovakia","sv",1
"Spain","sv",5
"Sweden","sv",235
"Sweden:Gotland","sv",4
"Sweden:Varmdo","sv",20
"Switzerland","sv",3
"Turkey","sv",7
"UK:Great Britain","sv",17
"UK:Great Britain","ta",3
"Finland","th",1
"France","th",2
"Germany","th",9
"Ireland","th",3
"Netherlands","th",7
"Poland","th",3
"Russia","th",3
"Spain","th",1
"Sweden","th",4
"Switzerland","th",2
"UK:Great Britain","th",28
"UK:Northern Ireland","th",1
"Andorra","tl",1
"Austria","tl",3
"Belgium","tl",8
"Bosnia and Herzegovina","tl",1
"Bulgaria","tl",1
"Czech Republic","tl",2
"Denmark","tl",1
"Finland","tl",3
"France","tl",32
"Germany","tl",22
"Greece:Kerkira","tl",1
"Greece:Kos","tl",1
"Hungary","tl",3
"Iraq","tl",4
"Ireland","tl",7
"Isle of Man","tl",1
"Italy","tl",30
"Italy:Sardinia","tl",2
"Kazakhstan","tl",1
"Kosovo","tl",1
"Lithuania","tl",1
"Macedonia","tl",1
"Montenegro","tl",1
"Netherlands","tl",15
"Poland","tl",5
"Portugal","tl",15
"Romania","tl",3
"Russia","tl",5
"Serbia","tl",8
"Slovenia","tl",1
"Spain","tl",43
"Sweden","tl",3
"Switzerland","tl",4
"Turkey","tl",23
"Turkey:North","tl",3
"UK:Great Britain","tl",72
"Ukraine","tl",4
"Uzbekistan","tl",3
"Albania","tr",1
"Algeria","tr",1
"Armenia","tr",1
"Austria","tr",27
"Azerbaijan","tr",61
"Belgium","tr",19
"Bosnia and Herzegovina","tr",6
"Bulgaria","tr",7
"Czech Republic","tr",4
"Denmark:Sjaelland","tr",1
"France","tr",64
"Georgia","tr",6
"Germany","tr",134
"Greece","tr",4
"Greece:Kos","tr",1
"Hungary","tr",12
"Iceland","tr",1
"Iran","tr",1
"Iraq","tr",5
"Ireland","tr",3
"Italy","tr",28
"Italy:Sardinia","tr",1
"Kazakhstan","tr",4
"Lithuania","tr",1
"Macedonia","tr",7
"Malta","tr",4
"Moldova","tr",1
"Montenegro","tr",2
"Netherlands","tr",33
"Norway","tr",1
"Poland","tr",6
"Portugal","tr",3
"Romania","tr",2
"Russia","tr",8
"Serbia","tr",1
"Spain","tr",45
"Sweden","tr",7
"Switzerland","tr",7
"Syria","tr",3
"Turkey","tr",5295
"Turkey:North","tr",541
"Turkmenistan","tr",1
"UK:Great Britain","tr",86
"Ukraine","tr",4
"Uzbekistan","tr",1
"Belarus","uk",4
"Czech Republic","uk",1
"Finland","uk",1
"France","uk",1
"Germany","uk",7
"Hungary","uk",1
"Kazakhstan","uk",6
"Latvia","uk",1
"Lithuania","uk",1
"Macedonia","uk",1
"Netherlands","uk",1
"Portugal","uk",1
"Russia","uk",35
"Serbia","uk",2
"Spain","uk",2
"Sweden","uk",1
"UK:Great Britain","uk",1
"Ukraine","uk",193
"Uzbekistan","uk",2
"Afghanistan","und",4
"Albania","und",20
"Algeria","und",32
"Andorra","und",2
"Armenia","und",8
"Austria","und",43
"Azerbaijan","und",26
"Belarus","und",19
"Belgium","und",108
"Bosnia and Herzegovina","und",150
"Bulgaria","und",16
"Croatia","und",6
"Czech Republic","und",72
"Denmark","und",7
"Denmark:Sjaelland","und",21
"Estonia","und",3
"Finland","und",19
"France","und",796
"France:Corsica","und",3
"Georgia","und",10
"Germany","und",425
"Greece","und",80
"Greece:Evvoia","und",1
"Greece:Rodhos","und",2
"Guernsey","und",2
"Hungary","und",19
"Iceland","und",6
"Iran","und",6
"Iraq","und",41
"Ireland","und",176
"Isle of Man","und",6
"Italy","und",527
"Italy:Sardinia","und",21
"Italy:Sicily","und",19
"Jersey","und",2
"Kazakhstan","und",13
"Kosovo","und",14
"Latvia","und",3
"Liechtenstein","und",1
"Lithuania","und",4
"Luxembourg","und",1
"Macedonia","und",11
"Malta","und",14
"Moldova","und",2
"Montenegro","und",41
"Netherlands","und",246
"Netherlands:Texel","und",1
"Norway","und",24
"Pakistan","und",4
"Poland","und",102
"Portugal","und",157
"Romania","und",17
"Russia","und",241
"Russia:32","und",4
"Serbia","und",512
"Slovakia","und",34
"Slovenia","und",13
"Spain","und",1195
"Spain:Ibiza","und",5
"Spain:Majorca","und",7
"Spain:Minorca","und",1
"Sweden","und",48
"Sweden:Gotland","und",1
"Sweden:Varmdo","und",5
"Switzerland","und",79
"Syria","und",11
"Tunisia","und",14
"Turkey","und",649
"Turkey:North","und",49
"UK:Great Britain","und",2409
"UK:Isle of Wight","und",8
"UK:Northern Ireland","und",66
"UK:Scotland:Isle of Lewis","und",1
"UK:Scotland:Orkney Islands:Mainland","und",1
"Ukraine","und",59
"Uzbekistan","und",6
"Austria","ur",1
"France","ur",7
"Germany","ur",4
"Iraq","ur",1
"Italy","ur",7
"Netherlands","ur",2
"Pakistan","ur",5
"Spain","ur",5
"Turkey:North","ur",6
"UK:Great Britain","ur",28
"Czech Republic","vi",1
"Spain","vi",1
"Turkey","vi",7
"UK:Great Britain","vi",1
"France","zh",1
"Germany","zh",3
"Iceland","zh",1
"Ireland","zh",1
"Italy","zh",1
"Netherlands","zh",2
"Russia","zh",1
"Spain","zh",2
"UK:Great Britain","zh",6
"Ukraine","zh",1
